registration_no,qualification_name,issuing_body,candidates_2024,passers_2024,pass_rate_pct,status
2022-004642,AI CERTIFICATE FOR EVERYONE,주식회사 케이티,13609,7683,56.5,examined
2021-000946,인공지능학습데이터전문가,사단법인 한국인공지능협회,3770,2755,73.1,examined
2024-002664,AI프로젝트지도사,한국직업능력진흥원 주식회사,2442,340,13.9,examined
2024-002196,AI-POT(AI프롬프트활용능력),한국생산성본부,1099,949,86.4,examined
2023-004909,프롬프트디자이너,사단법인 한국소프트웨어기술인협회,930,852,91.6,examined
2024-000346,AIGPT교육전문가,사단법인 미래직업협회,517,476,92.1,examined
2023-004335,대화형GPT(생성AI)전문가,(사)국제문화기술진흥원,414,248,59.9,examined
2024-000209,AI챗GPT전문지도사,(주) 디지털콘텐츠그룹,263,232,88.2,examined
2023-005996,챗GPT인공지능지도사,국제미래학회,251,230,91.6,examined
2024-002660,AI활용능력/AI상식,한국정보통신진흥협회,228,222,97.4,examined
2024-000044,인공지능(AI)활용마스터,뉴미디어 교육연구소,160,160,100.0,examined
2024-001703,AI인터랙티브디지털리터러시전문가,인터랙티브미디어리터러시교육협회,160,89,55.6,examined
2024-004562,AI로보틱스마스터(서비스용로봇),커넥트밸류 주식회사,139,119,85.6,examined
2024-004561,AI로보틱스마스터(지능형산업용로봇),커넥트밸류 주식회사,135,119,88.1,examined
2024-003054,AI활용능력/프롬프트엔지니어,한국정보통신진흥협회,112,110,98.2,examined
2024-001609,AI활용전문가,(주)한국교육진흥협회,104,102,98.1,examined
2021-004613,인공지능활용분석,주식회사 한국정보인재개발원,98,89,90.8,examined
2020-004747,인공지능활용능력,사단법인 한국인공지능협회,76,76,100.0,examined
2024-001650,AI아트지도사,한국기독AI작가협회,72,64,88.9,examined
2021-003050,AI코딩지도사,사단법인 미래직업협회,64,56,87.5,examined
2024-004841,AI마케팅지도사,(사)한국소상공인마케팅협회,62,62,100.0,examined
2024-001837,인공지능(AI)전문가,대한민국공인탐정경호협회,60,54,90.0,examined
2024-000268,AI인공지능＆윤리교육지도사,주식회사 꿈학관교육,59,59,100.0,examined
2019-003034,인공지능산업컨설턴트,사단법인 한국인공지능협회,57,47,82.5,examined
2021-000068,AIoT지식사,(사)한국사물지능협회,57,55,96.5,examined
2020-003908,인공지능교육지도사,사단법인 미래직업협회,49,45,91.8,examined
2024-002349,인공지능데이터마스터,사단법인 한국융합인재교육협회,45,44,97.8,examined
2021-004306,3C·AI코딩지도사,한국영재지도자교육협회,38,38,100.0,examined
2020-001563,인공지능에듀테크전문가,사단법인 한국인공지능협회,36,36,100.0,examined
2021-000067,AIoT아키텍트,(사)한국사물지능협회,35,34,97.1,examined
2023-001183,brainHQ트레이너,브레인백신,31,31,100.0,examined
2023-002014,KTAI코딩교육지도사,주식회사 미라클에이지아이,31,31,100.0,examined
2024-003030,AI이미지프롬프트엔지니어,인공지능콘텐츠디자인협회,26,22,84.6,examined
2018-002104,인공지능전문가,(사)국제문화기술진흥원,23,23,100.0,examined
2019-006509,인공지능창업지도사,사단법인 한국인공지능협회,18,16,88.9,examined
2020-004694,인공지능교육전문가,한국메이커스협동조합나래,18,18,100.0,examined
2024-002212,AI커뮤니케이터,디지털기술융합협회,18,17,94.4,examined
2023-002011,자율주행AI코딩지도사,주식회사 미라클에이지아이,17,17,100.0,examined
2024-002310,PerformanceandConditioningTrainer,택티컬 컨디셔닝 협회,17,14,82.4,examined
2023-000968,인공지능로봇코딩마스터,주식회사 창의와교육,11,11,100.0,examined
2023-003062,인공지능컨설턴트,사단법인 4차산업중소기업연합회,10,10,100.0,examined
2023-004547,프롬프트엔지니어,한국미래교육연구소,10,10,100.0,examined
2020-004015,인공지능(AI)교육지도사,국제능력교육원주식회사,9,8,88.9,examined
2024-002670,인공지능경영시스템내부심사원,한국표준협회,9,9,100.0,examined
2023-003367,AI코딩지도사,글로벌사이버대학교,8,8,100.0,examined
2024-003294,국제요가지도자(AhimsaMethods-InternationalYogaInstructor),주식회사 아힘사(Ahimsa),8,8,100.0,examined
2014-4154,비즈니스머신러닝,사단법인 한국씨알엠디지털마케팅협회,6,5,83.3,examined
2013-2405,조직영역MasterTrainer,한국교류분석상담학회,2,2,100.0,examined
2023-006092,AIDT활용교육전문가,(주)엘리스그룹,2,2,100.0,examined
2013-2406,조직영역Trainer,한국교류분석상담학회,1,1,100.0,examined
2020-001495,인공지능지도사,(주)창의개발교육원,0,0,,reported_zero
2023-004832,AI디지털미디어전문가,주식회사 미라클에이지아이,0,0,,reported_zero
2023-005948,인공지능(AI)융합교육지도사,국제능력교육원주식회사,0,0,,reported_zero
2024-000058,인공지능(AI)활용지도사,주식회사 아이에이에이,0,0,,reported_zero
2024-000965,AI커뮤니케이션전략전문가,위앤미에이치알디(HRD)교육센터,0,0,,reported_zero
2014-0595,PAI감성지도사,PAI감성프로그램연구소,,,,no_record_for_year
2014-5330,AI명리성명진로설계지도사,한양대학교 ,,,,no_record_for_year
2015-003630,BaristaTrainer,사단법인 한국음료직업교육개발원,,,,no_record_for_year
2016-004480,호흡Trainer,(사)한국치유요가협회,,,,no_record_for_year
2018-000403,BaristaInstructor,(주)통합커피교육기관,,,,no_record_for_year
2018-002157,AI융합코딩자격,주식회사 드림잡스쿨,,,,no_record_for_year
2018-003790,AI영어코딩지도사,(주)마이크로컴퓨팅,,,,no_record_for_year
2018-004601,Air Cargo Service,국제항공운송교육센터 주식회사,,,,no_record_for_year
2018-004602,AirlineBSPandTicketing,국제항공운송교육센터 주식회사,,,,no_record_for_year
2018-004604,AirlineCustomerService,국제항공운송교육센터 주식회사,,,,no_record_for_year
2018-005402,BrainTherapyInstructor,(사)한국치유요가협회,,,,no_record_for_year
2019-001687,AI융합코딩지도사,(주)마이크로컴퓨팅,,,,no_record_for_year
2019-002193,AirlineCabinCrewTraining,국제항공운송교육센터 주식회사,,,,no_record_for_year
2019-002425,HEARTRATETRAINER,씨이에스코리아 남산(CES KOREA NS),,,,no_record_for_year
2019-002492,인공지능기술전문가,재단법인 한국가상현실진흥원,,,,no_record_for_year
2019-004696,명상Trainer,(사)한국치유요가협회,,,,no_record_for_year
